id;month;meteo;resume
1;Multi-channelled Licensed;grey Cambridgeshire;Canyon HDD
2;Table Small Frozen Sausages Planner;envisioneer Music Public-key;infomediaries
3;Investment Account;Games Regional Digitized;copy convergence
4;Mayotte;Industrial;connect Markets Chief
5;capacitor archive;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands
6;compelling mission-critical;bifurcated scalable;Small
7;deliverables reinvent 24 hour;overriding;monitor 1080p Checking Account
8;world-class Frozen IB;Highway Ergonomic;moratorium moratorium
9;New York tangible Mississippi;Frozen bus;hard drive Robust Networked
10;Poland;Small partnerships;Outdoors
